model,cadence_s,first_report_s,trial_idx,max_visits,dt_ms,visits_at_first_packet,error,timestamp
b10c128,0.125,0.02,0,2000000,82.95183598995209,1,,1779000065.0496228
b10c128,0.25,0.05,0,2000000,83.67387598752975,132,,1779000065.3915007
b10c128,0.125,0.032,0,2000000,64.84494599699974,2,,1779000065.7220838
b10c128,0.25,0.03,0,2000000,91.46435096859932,4,,1779000066.071261
b10c128,0.25,0.018,0,2000000,313.70131999254227,1372,,1779000066.6506
b10c128,0.25,0.024,0,2000000,56.27588799595833,2,,1779000066.9682639
b10c128,0.125,0.025,0,2000000,59.419036984443665,9,,1779000067.2863069
b10c128,0.125,0.023,0,2000000,67.40015298128128,1,,1779000067.6146123
b10c128,0.25,0.045,0,2000000,79.0620119869709,26,,1779000067.9541337
b10c128,0.125,0.005,0,2000000,164.52182599902153,537,,1779000068.3862073
b10c128,0.25,0.015,0,2000000,370.42880299687386,1358,,1779000069.0236177
b10c128,0.125,0.075,0,2000000,117.13683798909187,339,,1779000069.398825
b10c128,0.25,0.115,0,2000000,170.7838589847088,583,,1779000069.8287783
b10c128,0.25,0.012,0,2000000,303.01098200678825,1423,,1779000070.3930526
b10c128,0.25,0.021,0,2000000,316.3790019750595,1477,,1779000070.9689808
b10c128,0.125,0.008,0,2000000,179.23407599329948,824,,1779000071.408849
b10c128,0.125,0.012,0,2000000,170.08666399121284,717,,1779000071.8452952
b10c128,0.125,0.06,0,2000000,100.01887500286102,198,,1779000072.2046938
b10c128,0.25,0.125,0,2000000,167.75600999593735,614,,1779000072.6391068
b10c128,0.125,0.035,0,2000000,103.76508897542953,69,,1779000073.004036
b10c128,0.25,0.04,0,2000000,93.28098601102829,101,,1779000073.3566296
b10c128,0.125,0.01,0,2000000,170.82242798805237,856,,1779000073.7895088
b10c128,0.125,0.021,0,2000000,98.27539601922035,18,,1779000074.151292
b10c128,0.25,0.032,0,2000000,66.22286400198936,13,,1779000074.4754655
b10c128,0.125,0.026,0,2000000,101.25135698914528,45,,1779000074.8395236
b10c128,0.25,0.2,0,2000000,226.85568398237228,1208,,1779000075.3265107
b10c128,0.125,0.03,0,2000000,80.82955798506737,71,,1779000075.665781
b10c128,0.125,0.05,0,2000000,103.01435998082161,228,,1779000076.0302818
b10c128,0.125,0.001,0,2000000,215.6187019944191,603,,1779000076.5129254
b10c128,0.125,0.045,0,2000000,87.1867989897728,169,,1779000076.8621192
b10c128,0.125,0.1,0,2000000,144.2231880426407,461,,1779000077.2669508
b10c128,0.125,0.003,0,2000000,171.24302196502686,716,,1779000077.6988723
b10c128,0.25,0.023,0,2000000,54.48475098609924,4,,1779000078.0107822
b10c128,0.125,0.04,0,2000000,71.08978399634361,126,,1779000078.3396895
b10c128,0.25,0.06,0,2000000,101.97496896982193,185,,1779000078.701085
b10c128,0.25,0.001,0,2000000,329.98513799905777,1323,,1779000079.2898514
b10c128,0.25,0.025,0,2000000,95.76030999422073,42,,1779000079.6446862
b10c128,0.25,0.02,0,2000000,317.9756459891796,1490,,1779000080.230071
b10c128,0.25,0.027,0,2000000,88.31251600384712,4,,1779000080.5833704
b10c128,0.125,0.024,0,2000000,81.66714298725128,1,,1779000080.9265666
b10c128,0.25,0.175,0,2000000,224.32649898529053,694,,1779000081.4176195
b10c128,0.25,0.01,0,2000000,289.7846670150757,1446,,1779000081.9694948
b10c128,0.25,0.005,0,2000000,311.4114719927311,1496,,1779000082.5406837
b10c128,0.25,0.008,0,2000000,302.4921909868717,1431,,1779000083.1102858
b10c128,0.25,0.075,0,2000000,121.19365298748016,277,,1779000083.4905639
b10c128,0.125,0.028,0,2000000,55.734169006347656,14,,1779000083.8052366
b10c128,0.25,0.026,0,2000000,53.96847903728485,27,,1779000084.11879
b10c128,0.125,0.022,0,2000000,124.45336201786995,4,,1779000084.5014665
b10c128,0.125,0.018,0,2000000,60.01882600784302,1,,1779000084.825868
b10c128,0.125,0.027,0,2000000,73.68820598721504,19,,1779000085.1579683
b10c128,0.25,0.035,0,2000000,71.03638598322868,56,,1779000085.4856272
b10c128,0.25,0.15,0,2000000,227.01492097973824,607,,1779000085.9814446
b10c128,0.125,0.115,0,2000000,165.89323496818542,514,,1779000086.40885
b10c128,0.25,0.028,0,2000000,72.54687097668648,2,,1779000086.7432792
b10c128,0.25,0.003,0,2000000,311.96565797924995,1644,,1779000087.318576
b10c128,0.125,0.015,0,2000000,201.1671530008316,772,,1779000087.7802045
